id,date,restaurant_id,*,**,***
589,2010-02-02,KAoKWjog,3,0,1
28589,2009-12-10,p038M4om,2,0,0
31170,2008-07-16,B1oXymOV,4,0,0
2600,2015-01-30,m0oWJl3G,1,0,3
1016,2012-03-19,rJoQwlEV,0,0,0
10904,2010-02-10,rNo6Ag36,0,0,0
6805,2012-12-30,V430G4EB,0,0,0
30877,2010-09-17,lnOReVoN,1,1,0
284,2010-03-18,njoZ9y3r,6,0,0
3761,2010-05-05,WwOaZpEB,3,0,1
22708,2008-02-28,1m3MMn3B,4,0,0
15399,2012-01-19,0ZEDQG3D,0,0,2
9887,2008-08-01,V4307qEB,11,1,0
33343,2014-09-03,wmo7AvEq,2,0,1
17156,2013-07-12,6K3lW6Ez,6,2,0
4593,2013-03-20,ekE4vNo2,0,0,0
24034,2010-04-22,we398lEk,1,0,0
3918,2014-10-28,1m3Mw6OB,2,1,1
26122,2011-03-04,ekE4az32,2,1,1
11142,2011-10-28,dj3daao9,9,3,2
30260,2013-03-01,eVOB5Loj,2,0,0
1736,2013-09-25,ydEjYdOW,6,1,0
21347,2011-12-06,Y1EmAWEw,6,1,1
30658,2011-01-19,m0oWBg3G,1,1,0
23065,2009-09-23,WeEen63a,4,0,0
27025,2010-09-14,WeEe8aOa,2,0,0
5693,2011-02-15,6K3lPk3z,0,0,0
29227,2010-05-11,wmo749Oq,1,0,0
11476,2008-03-24,njoZ7yOr,3,0,0
29214,2009-03-27,6K3lV9Oz,0,0,0
2525,2007-11-07,KAoK16Eg,2,0,2
24597,2010-09-29,m0oWPQOG,0,0,0
22877,2010-05-05,Y1EmQ7Ew,0,0,0
5386,2013-02-20,m0oW02OG,4,0,1
10415,2012-12-30,7RO5RBEq,0,0,0
18168,2015-03-02,qN3gzgEA,3,0,1
20026,2010-11-12,B1oXNdEV,5,0,0
33466,2008-06-10,8x3zG9ok,2,0,0
13230,2014-06-25,8xExNno0,2,0,1
7761,2008-04-29,KAoKa9Eg,7,1,1
6549,2012-12-30,N6OkJqox,0,0,0
20906,2013-12-30,1m3M5p3B,0,0,0
23328,2011-08-12,6VOp6a3L,1,0,1
13504,2014-02-25,Pk3wQqOd,14,1,2
28616,2011-08-22,1m3MQn3B,11,1,0
1906,2008-06-23,we39yD3k,4,0,0
29450,2008-03-06,XJ3rqqER,4,0,1
24409,2010-10-21,JBEybN38,0,0,0
33295,2008-07-29,8gOqg532,15,1,1
3737,2013-12-02,njoZ71Or,1,0,0
3254,2010-03-01,V430J2OB,3,0,2
9459,2012-12-30,rJoQK0EV,0,0,0
5841,2014-06-27,1m3MYb3B,4,0,1
927,2014-10-27,6VOpAQEL,6,1,1
11096,2009-04-13,WwOa9zOB,6,0,0
9739,2009-02-02,geEVeVOz,0,0,0
22380,2009-11-10,rNo65X36,3,1,0
30502,2012-09-12,1m3MdZEB,0,0,0
20650,2013-10-04,eVOBzpOj,1,0,1
915,2014-10-15,Pk3wMKOd,3,0,0
25476,2013-05-21,1m3MXnEB,2,2,1
110,2011-06-27,njoZKJOr,5,0,2
347,2012-06-25,dj3d6LO9,5,1,1
25365,2014-08-08,8gOqX4o2,4,0,0
15971,2013-01-08,9JoP0o8w,2,0,0
32767,2008-05-09,6Wo2Nyo9,2,0,0
6378,2013-04-22,dj3dXL39,6,0,0
33199,2009-06-08,xWoYqvoK,0,1,0
2469,2008-10-27,ekE44YE2,9,1,1
18001,2008-09-29,p038NDOm,13,1,4
15709,2010-02-03,p038KvEm,0,0,0
32344,2015-01-06,JGoNvboL,8,2,3
19290,2011-06-15,p038rzOm,4,0,1
20444,2012-12-30,rJoQLG3V,0,0,0
17845,2008-06-16,6K3lkeEz,6,0,0
30736,2007-07-10,m0oW8gOG,6,0,0
11918,2010-11-02,v5oJjyoB,11,1,3
29656,2012-08-20,ekE42No2,2,1,1
15562,2013-01-05,0ZEDPkED,2,1,2
30078,2007-05-15,lnORjnON,0,0,0
21237,2011-07-13,8x3znL3k,14,0,1
15915,2013-12-30,9JoPLvo8,0,0,0
16462,2014-09-29,XJ3rYpER,12,1,2
16775,2012-12-30,1m3MnoBP,0,0,0
21411,2011-04-27,wmo7w2oq,0,0,0
14000,2012-12-30,8KoAQeo6,0,0,0
20607,2011-03-15,Y1EmxWOw,1,0,1
9215,2013-05-20,6K3ly6oz,3,0,0
16402,2011-03-16,8x3zgZok,0,0,1
1618,2012-11-05,N6Okam3x,3,0,0
11760,2008-11-20,NbE1vJ3J,3,0,0
9232,2012-07-20,p038aDom,1,1,4
9018,2014-12-12,xWoYWMEK,2,0,0
9312,2009-06-19,JBEyqmE8,4,0,2
27839,2009-10-13,m0oWqlEG,2,0,0
29547,2013-03-27,8gOq54O2,4,0,2
4714,2014-10-09,VpoGgdor,5,0,0
18294,2011-09-21,JBEyp1O8,0,0,0
25546,2013-09-12,WeEeeVEa,6,1,0
19382,2013-01-10,xWoY9KoK,2,0,1
20255,2014-09-24,N6OknGox,12,1,0
27134,2011-04-01,6K3lkeEz,1,0,0
17790,2012-09-17,6Wo2K6O9,3,0,2
27395,2010-03-12,JGoNVBoL,2,0,0
4682,2012-12-30,geEV1kOz,0,0,0
23560,2013-03-21,nkOvJ8OB,5,1,0
1763,2013-05-10,we398lEk,4,1,1
15382,2008-05-16,0ZEDnpoD,8,0,0
23290,2013-12-03,XJ3r0YOR,1,0,0
8830,2010-05-27,njoZ5X3r,1,0,1
6964,2011-03-08,N6OkwgOx,0,0,1
30046,2012-12-30,Pk3wL9od,0,0,0
33194,2009-04-15,7RO5z6Eq,0,0,1
29087,2011-03-25,7RO5xXoq,12,1,1
14602,2015-03-23,we39Qr3k,2,2,2
28545,2007-05-09,rJoQpa3V,2,1,0
18666,2013-10-02,7RO55dOq,2,0,0
8689,2013-08-23,we39j9ok,3,0,0
23283,2008-11-18,KAoK4KOg,7,0,1
21577,2008-10-06,p038NDOm,13,1,4
27977,2009-10-23,JGoNRBoL,6,0,0
31922,2012-10-16,8gOqBME2,11,0,3
30692,2013-01-11,ZBEn9vOY,3,0,0
6906,2008-11-21,ydEjldoW,4,0,1
8515,2014-02-19,eVOBykoj,4,0,0
6385,2010-05-04,NbE19kEJ,3,0,0
32037,2013-12-17,v5oJk7OB,4,0,1
6484,2011-10-25,we39zlok,1,0,1
3402,2009-03-10,B1oX4moV,5,0,1
32704,2010-12-30,9JoPaeO8,5,0,1
12008,2009-02-25,0j3Laor6,9,0,1
29666,2012-12-30,ZBEnraEY,0,0,0
27746,2010-01-15,xWoYqvoK,0,0,0
32409,2010-09-24,m0oWRQ3G,0,0,0
23965,2011-12-20,eVOBjkOj,2,0,2
25268,2009-11-20,dj3deXo9,2,1,0
33133,2015-01-22,1m3MJ6oB,3,0,0
13118,2013-07-25,1m3MJ6oB,3,0,0
4002,2011-06-07,wmo7AvEq,5,0,0
26153,2013-05-23,6Wo2mV39,2,0,0
11802,2012-08-01,JGoNP6EL,3,0,0
31013,2012-12-30,p0389Gom,0,0,0
10251,2008-09-26,Pk3wX5od,3,0,1
13217,2008-02-01,JBEyj138,4,0,2
9439,2010-03-26,JGoNAb3L,0,0,0
27928,2010-05-21,lnORPD3N,4,1,0
8768,2009-12-07,8KoA15o6,3,0,2
15676,2013-02-13,dj3d2KO9,3,0,0
16344,2008-09-23,nkOvZZOB,4,0,0
26931,2011-12-01,8xExNno0,1,0,1
28883,2010-01-25,7RO57V3q,7,1,1
720,2011-09-09,geEVpVoz,8,0,0
21642,2014-08-08,8gOqvAE2,2,0,0
28812,2010-08-11,6Wo2GbO9,3,0,0
21357,2014-11-06,rNo6Qa36,0,0,0
3794,2011-04-12,JGoNQg3L,2,0,2
22793,2010-02-04,wmo7mPEq,2,0,0
28985,2010-11-17,JBEy50E8,3,0,0
18720,2012-12-30,xWoYLM3K,0,0,0
535,2009-12-16,we39eN3k,7,0,0
4830,2007-09-19,lnORVGON,3,1,0
1140,2008-10-10,6Wo2vGo9,3,0,1
18807,2013-04-11,dj3dWAE9,1,0,0
5265,2013-12-30,NbE1vJ3J,0,0,0
30346,2013-11-05,WwOadoBM,12,2,2
16249,2007-12-17,KAoK283g,7,1,0
18638,2012-07-25,ZBEn5vOY,1,1,0
10139,2009-04-21,rNo64LE6,1,0,1
22252,2010-02-10,JBEybN38,2,0,0
11823,2012-12-30,8xExP9E0,0,0,0
11108,2010-06-11,p038yXom,6,0,0
15669,2010-04-30,XJ3rmpER,0,0,0
2077,2009-01-05,rJoQ9loV,0,0,0
31685,2009-08-24,0ZEDWxOD,4,0,2
3830,2012-11-13,wmo77doq,19,0,3
20254,2012-06-29,wmo7DbOq,6,0,0
27929,2014-12-01,geEVLzoz,6,0,0
3038,2014-11-18,JBEy7ao8,0,0,0
26343,2008-11-19,Pk3wJwEd,2,0,1
32225,2012-12-30,njoZeJ3r,0,0,0
7444,2012-01-12,8gOqrDE2,10,0,3
19637,2011-10-06,N6OkXmEx,0,0,0
10696,2010-05-13,ZBEn02oY,7,1,4
1231,2010-02-19,6K3lnvOz,3,0,0
10255,2011-10-28,WwOa8VoB,3,1,0
3160,2012-01-30,XJ3rwWoR,12,1,1
30369,2013-05-01,0ZEDL8ED,0,0,0
28010,2012-12-30,eVOBl63j,0,0,0
30493,2012-10-17,rJoQlq3V,5,1,1
29221,2008-05-21,rNo64LE6,1,0,6
32507,2012-02-21,8x3znL3k,4,0,0
18443,2014-06-17,6VOp6a3L,2,0,0
25708,2009-12-07,N6OklmEx,0,0,1
13109,2007-07-31,Y1Em5WEw,5,3,0
3751,2011-06-23,wmo70jOq,2,1,3
4615,2012-05-24,xWoYDr3K,2,0,0
12925,2008-04-30,WeEeYwEa,3,0,0
11541,2014-04-04,lnORvnON,15,1,7
18892,2007-07-26,0j3L0L3r,4,0,2
21214,2009-05-15,8x3z2Z3k,8,1,0
33124,2015-01-06,8xExRWo0,8,0,0
18658,2013-12-30,6Wo2XwE9,0,0,0
5214,2014-05-16,VpoGGAor,5,2,5
24545,2014-02-12,eVOBykoj,4,0,0
868,2009-11-16,ZBEnpYoY,0,0,0
26203,2010-03-11,1m3MmD3B,0,0,0
7594,2014-04-29,VpoGddOr,2,0,0
18239,2010-06-30,rNo6Bdo6,0,0,0
2923,2009-01-15,0ZED4pED,6,1,0
27594,2008-04-02,Pk3wqxOd,5,0,0
33273,2010-10-21,ekE4bro2,0,0,1
30661,2014-01-30,9JoPbdE8,7,1,1
1383,2013-11-12,WwOa7d3B,2,0,0
17583,2008-12-15,p038zzOm,5,0,5
668,2015-02-03,Y1Em1lEw,1,0,0
33116,2008-04-11,njoZw1Or,3,0,1
13959,2013-11-20,JBEyDVO8,10,0,1
12438,2014-02-21,KAoK16Eg,0,0,0
9323,2008-03-18,geEVDJoz,2,0,1
4603,2008-02-14,0j3LyLor,4,0,7
22525,2014-10-30,ZBEnRaEY,0,0,0
13460,2015-02-26,NbE1AyEJ,6,0,0
21902,2014-12-05,B1oXnNEV,1,1,1
7642,2014-05-08,eVOBAJoj,7,0,1
29588,2008-06-13,1JEb4JoR,5,0,1
24277,2009-03-13,eVOBAJoj,6,2,0
2846,2011-10-25,7RO5mnOq,1,0,2
18024,2010-06-24,9JoP9QO8,3,1,0
8827,2012-11-21,Pk3w65Ed,6,1,1
24758,2011-11-17,eVOBykoj,3,0,0
26628,2012-07-25,8x3zeREk,6,0,4
24412,2008-12-04,KAoKdPOg,3,0,2
18529,2007-04-23,8KoAMQo6,2,0,0
31589,2014-03-13,0ZEDAB3D,5,1,0
18972,2010-08-24,KAoKz83g,5,1,2
3035,2009-03-20,8KoA15o6,6,0,0
18068,2009-02-06,1m3MMn3B,3,0,1
8077,2012-12-10,dj3dQao9,6,1,0
24487,2013-12-05,v5oJDdEB,3,0,1
6982,2011-03-25,lnORJLON,13,1,1
2815,2011-02-08,KAoKw9og,0,0,0
4347,2010-02-23,p038beOm,1,0,2
391,2009-11-20,Pk3wZKEd,5,0,1
22718,2012-09-06,V430w7EB,1,1,1
33739,2012-08-30,geEVJzEz,8,0,4
24094,2010-05-26,qN3gkz3A,4,1,0
30063,2010-05-17,9JoPMdO8,8,2,0
24471,2008-05-19,ekE4PNE2,0,0,0
12732,2010-03-12,1JEbamOR,7,0,0
26539,2015-01-22,JBEy4WO8,0,1,1
9021,2014-06-19,XJ3rKZoR,0,0,0
33755,2011-12-01,rNo6e036,7,0,0
8012,2009-02-04,m0oWlJOG,3,0,1
25543,2010-08-25,we39KZOk,1,1,0
4991,2010-07-09,WeEelrOa,2,1,0
1648,2008-09-18,B1oXlNoV,6,0,0
15032,2008-11-12,1JEbbJER,3,1,0
12738,2012-01-30,ZBEnNqEY,1,0,1
29387,2007-09-25,lnORVON8,14,3,7
32289,2015-02-23,WwOaqBOB,2,0,0
7096,2012-10-01,xWoYB9OK,0,0,0
10332,2008-09-29,we39lDEk,8,0,1
28866,2014-12-18,geEVLzoz,1,0,0
33476,2013-09-12,JBEyPXO8,10,0,1
30990,2009-10-30,we39V5ok,0,0,0
6155,2013-12-30,Pk3wVaEd,0,0,0
15225,2009-04-21,wmo7nP3q,2,0,0
21274,2014-12-11,7RO5wd3q,3,0,0
12241,2008-06-03,6K3lNvOz,10,0,0
33468,2009-03-03,6K3le8oz,8,0,2
31451,2014-09-03,ydEjQ2OW,10,0,0
23774,2007-10-25,nkOvAaoB,0,0,0
3630,2012-08-24,V430J2OB,6,1,3
26164,2014-04-18,N6OkJqox,4,0,1
12112,2009-10-22,8xExD7E0,2,0,0
4232,2013-08-14,wmo7lROq,0,0,0
30085,2014-01-31,6Wo2mV39,2,0,1
18583,2015-02-25,nkOvkaEB,8,1,0
10136,2011-07-28,p038eeom,0,0,2
31314,2007-11-28,p0380g3m,8,0,2
7052,2009-03-11,6K3lW6Ez,3,0,1
26168,2012-07-20,WeEedMOa,12,1,2
10495,2012-10-11,p038Qaom,7,0,2
19135,2013-12-30,B1oXNlEV,0,0,0
20005,2014-01-14,8KoA9Ko6,4,0,0
30170,2008-03-06,dj3dm5o9,8,0,2
28399,2008-03-05,Pk3wkV3d,5,0,2
30704,2007-08-28,nkOv0X3B,4,0,0
26606,2008-10-10,ydEjjPEW,4,0,3
2937,2010-10-07,Y1Em5WEw,18,2,5
