attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
"{u'Price Range': 1, u'Accepts Credit Cards': True, u'Wheelchair Accessible': True, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}}",Jp9svt7sRT4zwdbzQ8KQmw,"[u'Bakeries', u'Food', u'Event Planning & Services', u'Caterers']",Boston,"75 Federal Street
Financial District
Boston, MA 02110",{},42.3550833,-71.0565126,Rebecca's Cafe,[u'Financial District'],False,6,3.5,MA,business
"{u'Take-out': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Attire': u'casual', u'Waiter Service': False, u'Wi-Fi': u'no', u'Good for Kids': True, u'Good For Groups': True, u'Wheelchair Accessible': False}",CgdK8DiyX9Y4kTKEPi_qgA,"[u'Delis', u'Restaurants', u'Event Planning & Services', u'Caterers']",Boston,"8 City Hall Ave
Beacon Hill
Boston, MA 02108","{u'Tuesday': {u'close': u'15:00', u'open': u'06:00'}, u'Friday': {u'close': u'15:00', u'open': u'06:00'}, u'Monday': {u'close': u'15:00', u'open': u'06:00'}, u'Wednesday': {u'close': u'15:00', u'open': u'06:00'}, u'Thursday': {u'close': u'15:00', u'open': u'06:00'}}",42.3575,-71.0691,Delicato Cafe & Caterer,[u'Beacon Hill'],False,44,4.0,MA,business
"{u'Take-out': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'casual', u'Good For Groups': False, u'Delivery': True, u'Order at Counter': True, u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",SAnMTC1rm-PhP8DQC4zeyg,"[u'Delis', u'Restaurants']",Boston,"2 Center Plz
Downtown
Boston, MA 02108","{u'Tuesday': {u'close': u'16:00', u'open': u'05:30'}, u'Friday': {u'close': u'16:00', u'open': u'05:30'}, u'Monday': {u'close': u'16:00', u'open': u'05:30'}, u'Wednesday': {u'close': u'16:00', u'open': u'05:30'}, u'Thursday': {u'close': u'16:00', u'open': u'05:30'}}",42.3600743,-71.0601871,Plaza Deli,[u'Downtown'],True,12,3.0,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'casual', u'Good For Groups': True, u'Delivery': False, u'Order at Counter': True, u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",75dtVyDb8Sfwb7dR0cBvdg,"[u'Food', u'Sandwiches', u'Coffee & Tea', u'Breakfast & Brunch', u'Restaurants']",Boston,"122 Bowdoin St
Beacon Hill
Boston, MA 02108","{u'Monday': {u'close': u'18:00', u'open': u'05:00'}, u'Tuesday': {u'close': u'18:00', u'open': u'05:00'}, u'Friday': {u'close': u'18:00', u'open': u'05:00'}, u'Wednesday': {u'close': u'18:00', u'open': u'05:00'}, u'Thursday': {u'close': u'18:00', u'open': u'05:00'}, u'Saturday': {u'close': u'13:00', u'open': u'07:00'}}",42.35887,-71.0627705,Capitol Coffee House,"[u'Beacon Hill', u'Downtown']",True,60,3.5,MA,business
"{u'Take-out': False, u'Accepts Credit Cards': True, u'Price Range': 3, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'quiet', u'Good For Kids': False, u'Parking': {u'garage': True, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'dressy', u'Good For Groups': True, u'Delivery': False, u'Order at Counter': False, u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'brunch': False, u'breakfast': False}, u'Takes Reservations': True, u'Ambience': {u'romantic': False, u'intimate': False, u'classy': True, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': True, u'Wi-Fi': u'no', u'Good for Kids': False, u'Alcohol': u'full_bar', u'Wheelchair Accessible': True}",0uvgsJnwyCvNpjHOEYtlyQ,"[u'American (New)', u'Restaurants']",Boston,"60 School St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'22:00', u'open': u'06:30'}, u'Tuesday': {u'close': u'22:00', u'open': u'06:30'}, u'Friday': {u'close': u'22:00', u'open': u'06:30'}, u'Wednesday': {u'close': u'22:00', u'open': u'06:30'}, u'Thursday': {u'close': u'22:00', u'open': u'06:30'}, u'Sunday': {u'close': u'22:00', u'open': u'07:00'}, u'Saturday': {u'close': u'22:00', u'open': u'07:00'}}",42.3578446,-71.0603012,Parker's Restaurant,[u'Downtown'],True,111,3.5,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Drive-Thru': False, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'quiet', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': True, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Price Range': 1, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': False}",fYWIxI6kwuVqpPu1I1baWA,"[u'Burgers', u'Fast Food', u'Restaurants']",Boston,"1 Center Plz
Downtown
Boston, MA 02108",{},42.3600502,-71.0608149,Burger King,[u'Downtown'],True,7,2.5,MA,business
"{u'Price Range': 1, u'Accepts Credit Cards': True, u'Wheelchair Accessible': True, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}}",jAjZ6CXLrXW30zXM3ZEjhg,"[u'Food', u'Donuts', u'Coffee & Tea']",Boston,"235 Washington St
Beacon Hill
Boston, MA 02108",{},42.3575,-71.0691,Dunkin' Donuts,[u'Beacon Hill'],True,19,3.5,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 2, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Good For Kids': True, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': True, u'Delivery': False, u'Attire': u'casual', u'Has TV': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}, u'Takes Reservations': True, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': True, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'full_bar', u'Wheelchair Accessible': True}",eBhOMstBTgGvJak8amU91g,"[u'American (Traditional)', u'Pizza', u'Gluten-Free', u'Restaurants']",Boston,"Kenmore Square
645 Beacon St
Boston, MA 02215","{u'Monday': {u'close': u'00:30', u'open': u'11:00'}, u'Tuesday': {u'close': u'00:30', u'open': u'11:00'}, u'Friday': {u'close': u'00:30', u'open': u'11:00'}, u'Wednesday': {u'close': u'00:30', u'open': u'11:00'}, u'Thursday': {u'close': u'00:30', u'open': u'11:00'}, u'Sunday': {u'close': u'00:30', u'open': u'11:00'}, u'Saturday': {u'close': u'00:30', u'open': u'11:00'}}",42.3485862,-71.0978517,Uno Pizzeria & Grill,[],True,88,3.0,MA,business
"{u'Alcohol': u'full_bar', u'Good For Dancing': False, u'Noise Level': u'average', u'Parking': {u'garage': True, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Smoking': u'no', u'Happy Hour': False, u'Has TV': True, u'Outdoor Seating': False, u'Coat Check': True, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Music': {u'dj': True, u'live': False, u'video': False, u'jukebox': True}, u'Accepts Credit Cards': False, u'Wheelchair Accessible': True, u'Good For Groups': True, u'Price Range': 1}",283jjsb0TMPtkFB8AnUe_g,"[u'Bars', u'Gay Bars', u'Nightlife']",Boston,"14 Pi Alley
Downtown
Boston, MA 02108",{},42.358084,-71.0587317,Alley Bar,[u'Downtown'],True,49,3.5,MA,business
"{u'Delivery': False, u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Alcohol': u'none', u'Good For Groups': False, u'BYOB': False, u'Attire': u'casual', u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': True, u'Wi-Fi': u'no', u'Good for Kids': True, u'BYOB/Corkage': u'no', u'Wheelchair Accessible': False}",KktmGOBowhaKauCA2vPGFg,"[u'Sushi Bars', u'Restaurants']",Boston,"417 Washington St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'18:00', u'open': u'10:00'}, u'Tuesday': {u'close': u'18:00', u'open': u'10:00'}, u'Friday': {u'close': u'18:00', u'open': u'10:00'}, u'Wednesday': {u'close': u'18:00', u'open': u'10:00'}, u'Thursday': {u'close': u'18:00', u'open': u'10:00'}, u'Sunday': {u'close': u'18:00', u'open': u'10:00'}, u'Saturday': {u'close': u'18:00', u'open': u'10:00'}}",42.355848907992,-71.060340330623,Sushi Time,[u'Downtown'],True,58,3.5,MA,business
"{u'Take-out': True, u'Alcohol': u'none', u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Delivery': False, u'Outdoor Seating': False, u'Attire': u'casual', u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Good For Groups': False, u'Price Range': 2}",s4vylCWBTcThP8zHxsKD7Q,"[u'Sandwiches', u'Restaurants']",Boston,"426 Washington St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'19:00', u'open': u'07:00'}, u'Tuesday': {u'close': u'19:00', u'open': u'07:00'}, u'Friday': {u'close': u'19:00', u'open': u'07:00'}, u'Wednesday': {u'close': u'19:00', u'open': u'07:00'}, u'Thursday': {u'close': u'19:00', u'open': u'07:00'}, u'Saturday': {u'close': u'01:00', u'open': u'08:00'}}",42.3572119996026,-71.0584115982056,Au Bon Pain,[u'Downtown'],True,3,2.5,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Drive-Thru': False, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'average', u'Good For Kids': True, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Price Range': 1, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Good For Groups': True, u'Alcohol': u'none'}",s9wQWoJb2bYhZADfNm1v9w,"[u'Burgers', u'Fast Food', u'Restaurants']",Boston,"349 Washington St
Downtown
Boston, MA 02108",{},42.3573832,-71.0581635,Wendy's,[u'Downtown'],False,19,3.0,MA,business
"{u'Alcohol': u'none', u'Noise Level': u'average', u'Has TV': False, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Good for Kids': False, u'Price Range': 1, u'Delivery': False, u'Caters': False, u'BYOB': False, u'Accepts Credit Cards': False, u'BYOB/Corkage': u'no', u'Take-out': True, u'Wheelchair Accessible': False, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': False, u'Wi-Fi': u'no', u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Kids': False, u'Good For Groups': False}",WkfRFMB2tZbFxf1nsn1Tuw,"[u'Chinese', u'Restaurants']",Boston,"88 Harrison Ave
Chinatown
Boston, MA 02111",{},42.350709796811,-71.061436787129,Ding Ho Restaurant,[u'Chinatown'],True,50,3.0,MA,business
"{u'Alcohol': u'none', u'Noise Level': u'average', u'Has TV': False, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': True, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': True, u'Price Range': 1, u'Delivery': False, u'Caters': True, u'BYOB': False, u'Corkage': False, u'Accepts Credit Cards': False, u'BYOB/Corkage': u'yes_free', u'Take-out': True, u'Wheelchair Accessible': True, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': False, u'Wi-Fi': u'no', u'Dietary Restrictions': {u'dairy-free': True, u'gluten-free': False, u'vegan': True, u'kosher': False, u'halal': False, u'soy-free': False, u'vegetarian': True}, u'Order at Counter': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Kids': True, u'Good For Groups': True}",Fy_9m7vVgOypixTj5FTjBg,"[u'Falafel', u'Mediterranean', u'Restaurants']",Boston,"48 Winter St
Ste 1
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'20:00', u'open': u'11:00'}, u'Tuesday': {u'close': u'20:00', u'open': u'11:00'}, u'Friday': {u'close': u'20:00', u'open': u'11:00'}, u'Wednesday': {u'close': u'20:00', u'open': u'11:00'}, u'Thursday': {u'close': u'18:00', u'open': u'11:00'}, u'Saturday': {u'close': u'16:00', u'open': u'11:00'}}",42.35607,-71.061827,Falafel King,[u'Downtown'],True,293,4.0,MA,business
