business_id,checkin_info,type
CgdK8DiyX9Y4kTKEPi_qgA,"{u'9-0': 2, u'11-1': 1, u'11-0': 2, u'11-2': 1, u'6-4': 2, u'6-2': 4, u'6-3': 3, u'6-1': 2, u'9-1': 4, u'5-4': 3, u'9-3': 1, u'9-2': 1, u'5-1': 3, u'9-4': 4, u'5-3': 5, u'5-2': 3, u'7-2': 1, u'7-1': 2, u'7-0': 1, u'7-4': 1, u'10-0': 4, u'10-1': 4, u'10-2': 1, u'5-0': 4, u'8-0': 1, u'10-5': 1, u'8-2': 1, u'8-3': 3}",checkin
SAnMTC1rm-PhP8DQC4zeyg,"{u'12-4': 1, u'13-2': 1, u'12-3': 1, u'12-0': 2, u'14-3': 1, u'9-0': 8, u'11-5': 1, u'11-4': 1, u'11-1': 4, u'11-0': 2, u'11-3': 1, u'11-2': 5, u'6-4': 1, u'6-2': 1, u'6-3': 6, u'6-0': 6, u'6-1': 2, u'9-1': 5, u'5-4': 1, u'9-3': 2, u'9-2': 3, u'5-1': 1, u'9-4': 2, u'5-3': 1, u'5-2': 2, u'7-3': 6, u'7-2': 7, u'7-1': 5, u'7-0': 7, u'7-4': 10, u'10-0': 6, u'8-4': 6, u'10-1': 2, u'10-2': 5, u'10-3': 4, u'8-0': 3, u'8-1': 7, u'8-2': 4, u'8-3': 5}",checkin
75dtVyDb8Sfwb7dR0cBvdg,"{u'7-0': 1, u'8-5': 2, u'8-0': 3, u'7-4': 4, u'12-4': 1, u'5-1': 2, u'18-3': 1, u'5-4': 4, u'8-4': 4, u'11-1': 1, u'11-3': 1, u'11-2': 1, u'4-4': 3, u'6-4': 5, u'6-5': 2, u'6-2': 3, u'6-3': 2, u'6-0': 7, u'6-1': 3, u'5-5': 2, u'4-1': 1, u'4-3': 2, u'9-5': 5, u'9-4': 2, u'5-3': 2, u'5-2': 3, u'7-3': 3, u'7-2': 1, u'7-1': 1, u'3-4': 2, u'3-3': 1, u'3-2': 1, u'7-5': 7, u'3-0': 1, u'10-0': 1, u'10-1': 1, u'10-2': 1, u'10-4': 3, u'8-1': 3, u'8-2': 3, u'8-3': 1}",checkin
0uvgsJnwyCvNpjHOEYtlyQ,"{u'8-5': 1, u'6-6': 3, u'17-5': 2, u'6-5': 2, u'10-6': 2, u'16-3': 1, u'15-1': 3, u'15-0': 4, u'15-3': 1, u'15-2': 1, u'15-5': 5, u'15-4': 2, u'6-3': 1, u'18-1': 1, u'18-2': 1, u'18-3': 2, u'18-4': 7, u'18-5': 2, u'14-5': 4, u'14-0': 1, u'14-1': 2, u'14-2': 2, u'16-4': 5, u'9-0': 2, u'19-4': 2, u'16-5': 5, u'19-0': 1, u'19-2': 1, u'11-5': 3, u'11-6': 1, u'11-1': 1, u'11-0': 1, u'13-5': 1, u'13-4': 2, u'12-6': 1, u'5-1': 1, u'6-4': 1, u'12-5': 2, u'6-2': 2, u'12-3': 1, u'6-0': 2, u'6-1': 1, u'5-5': 2, u'5-4': 1, u'9-3': 1, u'9-2': 1, u'9-5': 2, u'9-4': 2, u'9-6': 1, u'7-3': 2, u'8-6': 1, u'17-4': 2, u'21-3': 1, u'7-6': 1, u'7-5': 6, u'16-2': 1, u'17-6': 1, u'16-0': 1, u'16-1': 1, u'17-2': 2, u'17-1': 2, u'17-0': 3, u'10-0': 4, u'21-5': 1, u'21-6': 1, u'8-3': 1, u'10-5': 4, u'8-2': 1, u'13-6': 2}",checkin
fYWIxI6kwuVqpPu1I1baWA,"{u'4-0': 1, u'15-1': 1, u'6-2': 1, u'8-2': 1, u'11-2': 1, u'10-0': 1, u'10-4': 1, u'12-0': 1}",checkin
jAjZ6CXLrXW30zXM3ZEjhg,"{u'15-0': 1, u'15-3': 2, u'15-2': 1, u'18-0': 1, u'14-3': 2, u'11-5': 2, u'13-6': 1, u'11-3': 2, u'11-2': 1, u'12-4': 1, u'12-5': 1, u'6-2': 1, u'6-3': 3, u'6-0': 1, u'12-1': 1, u'5-4': 2, u'9-5': 1, u'8-0': 1, u'5-3': 1, u'7-3': 1, u'20-0': 1, u'16-0': 1, u'8-4': 1, u'10-4': 1, u'8-3': 1}",checkin
eBhOMstBTgGvJak8amU91g,"{u'7-0': 3, u'13-5': 4, u'11-2': 3, u'10-1': 2, u'8-0': 1, u'13-0': 1, u'16-5': 7, u'9-6': 2, u'10-6': 3, u'17-6': 1, u'15-1': 3, u'15-3': 3, u'15-2': 2, u'15-5': 1, u'15-4': 8, u'15-6': 4, u'18-2': 1, u'16-1': 3, u'18-4': 2, u'18-5': 1, u'14-4': 4, u'14-5': 1, u'14-6': 2, u'14-1': 5, u'14-2': 2, u'14-3': 6, u'17-1': 4, u'19-4': 2, u'19-6': 2, u'19-1': 3, u'19-0': 2, u'19-2': 3, u'11-5': 1, u'11-4': 1, u'11-6': 2, u'13-6': 2, u'11-3': 1, u'8-5': 1, u'12-6': 4, u'12-4': 3, u'8-6': 3, u'6-0': 1, u'9-1': 3, u'13-3': 1, u'9-3': 3, u'9-2': 2, u'9-5': 2, u'9-4': 3, u'13-2': 3, u'20-1': 2, u'20-0': 3, u'20-3': 1, u'20-2': 1, u'20-4': 3, u'16-2': 4, u'16-3': 1, u'17-5': 7, u'17-4': 1, u'16-6': 2, u'17-2': 1, u'16-4': 1, u'17-0': 1, u'8-4': 1, u'21-5': 1, u'10-2': 1, u'10-3': 4, u'10-4': 1, u'10-5': 3, u'8-2': 1}",checkin
283jjsb0TMPtkFB8AnUe_g,"{u'16-0': 1, u'16-5': 1, u'22-5': 1, u'16-3': 3, u'15-3': 1, u'15-2': 2, u'15-4': 13, u'15-6': 2, u'18-0': 2, u'18-2': 1, u'22-4': 1, u'18-4': 2, u'18-5': 2, u'18-6': 5, u'23-5': 2, u'14-4': 8, u'14-5': 2, u'14-6': 2, u'14-2': 2, u'14-3': 1, u'19-5': 2, u'19-4': 3, u'19-6': 3, u'19-0': 1, u'19-2': 2, u'13-3': 1, u'13-2': 1, u'13-6': 1, u'13-5': 2, u'13-4': 2, u'12-4': 1, u'12-5': 5, u'9-2': 1, u'8-0': 1, u'11-4': 1, u'20-1': 2, u'20-0': 1, u'20-5': 3, u'20-4': 2, u'20-6': 2, u'17-6': 5, u'17-5': 2, u'17-4': 6, u'16-6': 2, u'16-4': 6, u'17-0': 1, u'21-4': 2, u'10-2': 1, u'10-4': 1, u'22-2': 1, u'8-2': 1, u'21-3': 1}",checkin
KktmGOBowhaKauCA2vPGFg,"{u'15-3': 1, u'15-2': 1, u'14-0': 1, u'14-1': 1, u'11-5': 1, u'11-4': 3, u'13-1': 1, u'11-1': 2, u'11-3': 2, u'13-4': 1, u'12-4': 1, u'12-2': 3, u'12-3': 1, u'9-0': 1, u'9-3': 2, u'9-5': 1, u'9-4': 5, u'13-2': 2, u'10-4': 1, u'16-4': 1, u'10-0': 3, u'10-2': 2, u'10-3': 2, u'8-0': 1, u'8-1': 1}",checkin
s9wQWoJb2bYhZADfNm1v9w,"{u'16-1': 1, u'12-5': 1, u'11-6': 1, u'11-0': 1, u'11-3': 1}",checkin
